,ranking,school,district,rating,grade,student,ratio
980,-1,James F. Murray School - P.S. 38,Jersey City School District,C+,"PK, K-8",795,13 to 1
981,-1,East Newark Public School,E NEWARK,C+,"PK, K-8",227,11 to 1
982,-1,Tuckerton Elementary School,TUCKERTON,C+,"PK, K-6",328,10 to 1
983,-1,South Amboy Elementary School,South Amboy School District,C+,"PK, K-5",569,13 to 1
984,-1,Parsons Elementary School,North Brunswick Township School District,C+,"PK, K-4",542,9 to 1
985,-1,Magowan Elementary School,Edgewater Park Township School District,C+,"PK, K-4",534,12 to 1
986,-1,Berkeley School,Bloomfield Board Of Education School District,C+,K-6,467,11 to 1
987,-1,Ventnor Elementary School,Ventnor City School District,C+,"PK, K-4",370,10 to 1
988,-1,Paterson Charter School for Science & Technology,PATERSON,C+,K-12,1529,12 to 1
989,-1,Clara B. Worth Elementary School,Berkeley Township School District,C+,"PK, K-4",674,12 to 1
990,-1,Watsessing Elementary School,Bloomfield Board Of Education School District,C+,K-6,286,9 to 1
991,-1,Hillcrest School,Franklin Township Public School District,C+,"PK, K-5",424,10 to 1
992,-1,Public School 1,Paterson Public School District,C+,K-5,234,11 to 1
993,-1,Sixteenth Avenue Elementary School,Elmwood Park School District,C+,"PK, K-5",478,13 to 1
994,-1,George L. Hess Educational Complex,Hamilton Township School District,C+,"PK, 2-5",1377,12 to 1
995,-1,Allamuchy Township School,Allamuchy Township School District,C+,8-Mar,283,13 to 1
996,-1,Ogdensburg School,OGDENSBURG,C+,"PK, K-8",254,11 to 1
997,-1,Phillip's Academy Charter School,NEWARK,C+,"PK, K-8",540,16 to 1
998,-1,Charles F. Seabrook School,Upper Deerfield Township School District,C+,"PK, K-2",382,9 to 1
999,-1,Veterans Memorial Elementary School,Brick Township Public School District,C+,K-5,619,11 to 1
1000,-1,Ocean Gate Elementary School,OCEAN GATE,C+,"PK, K-6",132,9 to 1
1001,-1,Lester D. Wilson Elementary School,Alexandria Township School District,C+,"PK, K-3",185,9 to 1
1002,-1,Folwell Elementary School,Mount Holly Township Public School District,C+,4-Feb,308,11 to 1
1003,-1,H. & M. Potter School,Berkeley Township School District,C+,"PK, K-4",664,11 to 1
1004,-1,Mt. Vernon School,Newark Public School District,C+,"PK, K-8",843,15 to 1
1005,-1,Alice Costello Elementary School,BROOKLAWN,C+,"PK, K-8",289,10 to 1
1006,-1,Maud Abrams School,Lower Township Elementary School District,C+,4-Mar,384,10 to 1
1007,-1,Berkeley Township Elementary School,Berkeley Township School District,C+,6-Apr,619,12 to 1
1008,-1,Crest Memorial School,WILDWOOD CREST,C+,"PK, K-8",252,7 to 1
1009,-1,Spruce Street Elementary School,Lakewood School District,C+,"PK, K-1",509,9 to 1
1010,-1,Roosevelt School,Manville Board of Education,C+,4-Mar,228,10 to 1
1011,-1,Roosevelt School No. 7,Garfield Public School District,C+,"PK, K-5",273,11 to 1
1012,-1,Lanes Mill Elementary School,Brick Township Public School District,C+,K-5,550,11 to 1
1013,-1,Clifton School No. 4,Clifton Public School District,C+,K-5,141,13 to 1
1014,-1,Norman S. Weir Elementary School,Paterson Public School District,C+,K-8,289,11 to 1
1015,-1,Lindbergh Elementary School,Palisades Park School District,C+,6-Jan,858,858 to 1
1016,-1,Samuel T. Busansky,Pemberton Township School District,C+,5-Mar,321,10 to 1
1017,-1,Greenwood Elementary School,Hamilton Township School District (Hamilton),C+,"PK, K-5",240,11 to 1
1018,-1,Winslow Township Elementary School No. 1,Winslow Township School District,C+,"PK, K-3",338,10 to 1
1019,-1,Jackson Avenue School,Hackensack School District,C+,"PK, K-4",442,13 to 1
1020,-1,Keyport Central School,Keyport School District,C+,"PK, K-8",659,10 to 1
1021,-1,Link Community Charter School,NEWARK,C+,K-8,318,7 to 1
1022,-1,John H. Winslow Elementary School,Vineland Public School District,C+,K-5,464,12 to 1
1023,-1,Pine Beach Elementary School,Toms River Regional School District,C+,K-5,410,12 to 1
1024,-1,Folsom Elementary School,FOLSOM,C+,"PK, K-8",385,11 to 1
1025,-1,Washington Park School,Totowa Public School District,C+,8-Mar,639,14 to 1
1026,-1,Shark River Hills School,Neptune Township School District,C+,"PK, K-5",233,9 to 1
1027,-1,Sovereign Avenue School,Atlantic City School District,C+,"PK, K-8",741,11 to 1
1028,-1,Myron L. Powell School,CEDARVILLE,C+,"PK, K-8",484,11 to 1
1029,-1,John C. Milanesi Elementary School,Buena Regional School District,C+,"PK, K-2",269,12 to 1
1030,-1,Maude M. Wilkins Elementary School,Maple Shade School District,C+,"PK, 3-4",429,9 to 1
1031,-1,Forest Street Elementary School,Orange Board of Education School District,C+,"PK, K-7",396,12 to 1
1032,-1,Shady Lane School,Deptford Township Public School District,C+,6-Feb,406,13 to 1
1033,-1,Roosevelt Elementary School,Rahway Public School District,C+,"PK, K-6",596,11 to 1
1034,-1,Eastampton Township Community School,EASTAMPTON,C+,K-8,561,12 to 1
1035,-1,Dr. Albert Bean School,Pine Hill School District,C+,"PK, K-5",374,11 to 1
1036,-1,Washington School,Kearny School District,C+,"PK, K-6",497,11 to 1
1037,-1,Alpha Borough School,ALPHA,C+,"PK, K-8",184,8 to 1
1038,-1,School #17,Clifton Public School District,C+,"PK, K-5",486,11 to 1
1039,-1,Kisthardt Elementary School,Hamilton Township School District (Hamilton),C+,"PK, K-5",233,11 to 1
1040,-1,Madison-Monroe School No. 16,Elizabeth Public Schools,C+,"PK, K-8",657,12 to 1
1041,-1,Winslow Township School No. 5,Winslow Township School District,C+,6-Apr,628,11 to 1
1042,-1,Waretown Elementary School,Ocean Township School District (Waretown),C+,"PK, K-2",268,9 to 1
1043,-1,Dr. Maya Angelou Elementary School,Jersey City School District,C+,"PK, K-5",689,17 to 1
1044,-1,Bellmawr Park Elementary School,Bellmawr Public School District,C+,"PK, K-4",476,13 to 1
1045,-1,W.L. Antheil Elementary School,Ewing Township School District,C+,"PK, K-5",657,10 to 1
1046,-1,Julia A. Barnes School - P.S. 12,Jersey City School District,C+,"PK, K-8",356,9 to 1
1047,-1,Joseph H. Brensinger School - P.S. 17,Jersey City School District,C+,"PK, K-8",1283,14 to 1
1048,-1,Pauline J. Petway Elementary School,Vineland Public School District,C+,K-5,517,12 to 1
1049,-1,Summerfield Elementary School,Neptune Township School District,C+,"PK, K-5",444,10 to 1
1050,-1,Iprep Academy School No 8,Elizabeth Public Schools,C+,K-8,427,13 to 1
1051,-1,Number 1,Linden Public School District,C+,"PK, K-5",439,12 to 1
1052,-1,Ross Street School,Woodbridge Township School District,C+,K-5,441,12 to 1
1053,-1,Hamburg School,HAMBURG,C+,"PK, K-8",210,8 to 1
1054,-1,Park Elementary School,Newark Public School District,C+,"PK, K-8",818,15 to 1
1055,-1,Robert Fulton School,North Bergen School District,C+,8-Jan,1196,16 to 1
1056,-1,Mahatma K. Gandhi School - P.S. 23,Jersey City School District,C+,"PK, K-8",1363,11 to 1
1057,-1,Dr. Antonia Pantoja School No. 27,Elizabeth Public Schools,C+,"PK, K-8",954,14 to 1
1058,-1,Frog Pond Elementary School,Little Egg Harbor Township School District,C+,6-Mar,734,11 to 1
1059,-1,Parkway Elementary School,Ewing Township School District,C+,"PK, K-5",395,10 to 1
1060,-1,Forked River Elementary School,Lacey Township School District,C+,K-4,419,12 to 1
1061,-1,George Washington School,Union City School District,C+,"PK, K-6",786,16 to 1
1062,-1,Herma S. Simmons Elementary School,Clayton Public School District,C+,"PK, K-5",696,12 to 1
1063,-1,School No. 19,Paterson Public School District,C+,K-4,351,15 to 1
1064,-1,Walnut Street Elementary School,Woodbury City Public School District,C+,"PK, K-5",119,15 to 1
1065,-1,Robert Morris School No. 18,Elizabeth Public Schools,C+,"PK, K-8",668,13 to 1
1066,-1,Dawes Avenue Elementary School,Somers Point School District,C+,K-3,345,12 to 1
1067,-1,Helen I. Smith Elementary School,Saddle Brook School District,C+,K-6,297,9 to 1
1068,-1,Dr. William Mennies School,Vineland Public School District,C+,K-5,599,14 to 1
1069,-1,Central Park Elementary School,Pennsville Public School District,C+,3-Feb,268,12 to 1
1070,-1,Harmony Township School,PHILLIPSBURG,C+,"PK, K-8",210,7 to 1
1071,-1,Camden Prep,CAMDEN,C+,K-8,891,891 to 1
1072,-1,Bradley Beach Elementary School,BRADLEY BEACH,C+,"PK, K-8",261,7 to 1
1073,-1,West End Memorial Elementary School,Woodbury City Public School District,C+,"PK, K-5",448,15 to 1
1074,-1,Field Street School,Penns Grove-Carneys Point Regional School District,C+,3-Jan,504,14 to 1
1075,-1,Elmora School No. 12,Elizabeth Public Schools,C+,"PK, K-8",658,13 to 1
1076,-1,James J. Flynn Elementary School,Perth Amboy Public School District,C+,K-4,620,10 to 1
1077,-1,School No. 6,Linden Public School District,C+,"PK, K-5",324,10 to 1
1078,-1,Horace Mann School,North Bergen School District,C+,8-Jan,1093,15 to 1
1079,-1,Abraham Lincoln School No. 14,Elizabeth Public Schools,C+,K-8,928,12 to 1
1080,-1,Roosevelt Elementary School,Union City School District,C+,"PK, K-6",978,16 to 1
1081,-1,Colin Powell Elementary School,Union City School District,C+,K-5,865,17 to 1
1082,-1,Ralph J. Steinhauer Elementary School,Maple Shade School District,C+,"PK, 5-6",407,13 to 1
1083,-1,Compass Academy Charter School,VINELAND,C+,"PK, K-5",155,10 to 1
1084,-1,Franklin Elementary School,Rahway Public School District,C+,"PK, K-6",618,14 to 1
1085,-1,Woodbine Elementary School,WOODBINE,C+,"PK, K-8",210,8 to 1
1086,-1,Park Avenue Elementary School,Freehold Borough School District,C+,5-Mar,525,10 to 1
1087,-1,Christopher Columbus School No. 8,Garfield Public School District,C+,"PK, K-5",334,11 to 1
1088,-1,Woodrow Wilson School No. 19,Elizabeth Public Schools,C+,"PK, K-8",641,12 to 1
1089,-1,Bass River Township Elementary School,NEW GRETNA,C+,"PK, K-6",93,7 to 1
1090,-1,Hope Academy Charter School,ASBURY PARK,C+,K-8,256,10 to 1
1091,-1,Gregory School,Long Branch Public School District,C+,K-5,587,10 to 1
1092,-1,Magnolia Public School,MAGNOLIA,C+,"PK, K-8",403,11 to 1
1093,-1,Weston Elementary School,Manville Board of Education,C+,"PK, K-2",411,12 to 1
1094,-1,Dr. J. Grieco Elementary School,Englewood Public School District,C+,2-Jan,355,10 to 1
1095,-1,D'Ippolito Elementary School,Vineland Public School District,C+,K-5,525,13 to 1
1096,-1,South Toms River Elementary School,Toms River Regional School District,C+,K-5,317,14 to 1
1097,-1,Nathan Hale Elementary School,Carteret Public School District,C+,"PK, K-5",454,11 to 1
1098,-1,Winslow Township Elementary School No. 2,Winslow Township School District,C+,"PK, K-3",356,11 to 1
1099,-1,College Achieve Central Charter School,PLAINFIELD,C+,K-11,1353,20 to 1
1100,-1,East End Elementary School,North Plainfield School District,C+,"PK, K-4",418,9 to 1
1101,-1,Thomas Richards Elementary School,Waterford Township School District,C+,"PK, K",234,12 to 1
1102,-1,Belleville Public School No. 3,Belleville Public Schools,C+,"PK, K-6",356,13 to 1
1103,-1,National Park Elementary School,NATIONAL PARK,C+,"PK, K-6",289,11 to 1
1104,-1,Pennsauken Intermediate School,Pennsauken Township Board of Education School District,C+,5-Apr,683,10 to 1
1105,-1,Alexander D. Sullivan School - P.S. 30,Jersey City School District,C+,"PK, K-5",577,11 to 1
1106,-1,Frederic A. Priff Elementary School,Ocean Township School District (Waretown),C+,6-Mar,257,11 to 1
1107,-1,Sussex Avenue Renew School,Newark Public School District,C,"PK, K-8",426,13 to 1
1108,-1,Main Road School,Township of Franklin School District,C,4-Mar,382,10 to 1
1109,-1,Rev. Dr. Ercel F. Webb School - P.S. 22,Jersey City School District,C,"PK, K-5",680,12 to 1
1110,-1,Anthony Rossi Elementary School,Vineland Public School District,C,K-5,685,13 to 1
1111,-1,Brighton Avenue School,Atlantic City School District,C,"PK, K-5",354,11 to 1
1112,-1,Joseph S. Stackhouse School,Pemberton Township School District,C,K-2,277,12 to 1
1113,-1,Winfield Township School,WINFIELD,C,"PK, K-8",141,8 to 1
1114,-1,Wilbur Watts Intermediate School,Burlington City Public School District,C,6-Mar,459,11 to 1
1115,-1,Achieve Community Charter School,NEWARK,C,K-7,183,10 to 1
1116,-1,Passaic Gifted & Talented Academy School No. 20,Passaic City School District,C,8-Feb,946,15 to 1
1117,-1,Roseville Community Charter School,NEWARK,C,K-4,277,10 to 1
1118,-1,Veterans' Memorial Elementary School,Union City School District,C,"PK, K-5",559,16 to 1
1119,-1,Harrison Elementary School,Roselle Public Schools,C,4-Jan,263,8 to 1
1120,-1,West End Elementary School,North Plainfield School District,C,"PK, K-4",498,10 to 1
1121,-1,Klockner Elementary School,Hamilton Township School District (Hamilton),C,"PK, K-5",265,12 to 1
1122,-1,Franklin Elementary School,Pennsauken Township Board of Education School District,C,"PK, K-3",397,12 to 1
1123,-1,Burch Charter School of Excellence,IRVINGTON,C,K-5,336,17 to 1
1124,-1,Thomas A. Edison School,Union City School District,C,"PK, K-6",984,12 to 1
1125,-1,Rieck Avenue School,Millville School District,C,K-5,469,12 to 1
1126,-1,Dane Barse School,Vineland Public School District,C,K-5,268,10 to 1
1127,-1,Grover Cleveland Elementary School,Rahway Public School District,C,"PK, K-6",497,12 to 1
1128,-1,LEAP Academy University Charter School,CAMDEN,C,K-12,1557,15 to 1
1129,-1,Public School No. 2,West New York Board of Education,C,K-6,716,15 to 1
1130,-1,Jersey City Community Charter School,JERSEY CITY,C,K-8,593,17 to 1
1131,-1,John Marshall School No. 20,Elizabeth Public Schools,C,K-8,383,11 to 1
1132,-1,LaCorte-Peterstown School No. 3,Elizabeth Public Schools,C,K-8,789,15 to 1
1133,-1,Amerigo A. Anastasia School,Long Branch Public School District,C,K-5,581,10 to 1
1134,-1,Evergreen Avenue Elementary School,Woodbury City Public School District,C,"PK, K-5",298,13 to 1
1135,-1,Durban Avenue Elementary School,Hopatcong Borough School District,C,"PK, K-1",273,11 to 1
1136,-1,Winslow Township School No. 6,Winslow Township School District,C,6-Apr,495,9 to 1
1137,-1,George J. Mitchell Elementary School,Little Egg Harbor Township School District,C,K-2,537,10 to 1
1138,-1,Columbus School,Carteret Public School District,C,"PK, K-5",740,13 to 1
1139,-1,School No. 4,Linden Public School District,C,"PK, K-5",425,13 to 1
1140,-1,Mastery Schools of Camden,Mastery Schools of Camden,C,K-12,2737,15 to 1
1141,-1,South River Elementary School,South River Public School District,C,5-Feb,652,11 to 1
1142,-1,Leeds Avenue Elementary School,Pleasantville Public School District,C,"PK, K-5",601,12 to 1
1143,-1,Belleville Public School No. 8,Belleville Public Schools,C,K-6,493,16 to 1
1144,-1,Mabel G. Holmes School No. 5,Elizabeth Public Schools,C,"PK, K-8",877,11 to 1
1145,-1,Oxford Street Elementary School,Belvidere School District,C,"PK, K-8",272,9 to 1
1146,-1,G.H. Carson Elementary School,Pennsauken Township Board of Education School District,C,"PK, K-3",378,14 to 1
1147,-1,New Jersey Avenue School,Atlantic City School District,C,"PK, K-8",573,10 to 1
1148,-1,Belleville Public School No. 7,Belleville Public Schools,C,"PK, K-6",444,14 to 1
1149,-1,George Washington School No. 1,Elizabeth Public Schools,C,"PK, K-8",582,13 to 1
1150,-1,Hampton Public School,HAMPTON,C,"PK, K-5",89,7 to 1
1151,-1,Joseph C. Caruso School,Keansburg School District,C,K-5,720,8 to 1
1152,-1,Dorothy L. Bullock School,Glassboro School District,C,3-Jan,438,13 to 1
1153,-1,Salome Urena Elementary School,Newark Public School District,C,"PK, K-6",318,9 to 1
1154,-1,Dr. Charles P. DeFuccio School - P.S. 39,Jersey City School District,C,"PK, K-8",350,9 to 1
1155,-1,McKinley School,North Bergen School District,C,K-8,346,9 to 1
1156,-1,Freehold Learning Center,Freehold Borough School District,C,"PK, K-3",589,11 to 1
1157,-1,Heywood Avenue School,Orange Board of Education School District,C,"PK, K-7",370,10 to 1
1158,-1,Thomas E. Bowe School,Glassboro School District,C,6-Apr,421,11 to 1
1159,-1,Johnnie L. Cochran Jr. Academy,East Orange School District,C,K-5,198,12 to 1
1160,-1,Lawnside Public School,LAWNSIDE,C,"PK, K-8",306,12 to 1
1161,-1,Joseph Battin School No. 4,Elizabeth Public Schools,C,K-8,861,14 to 1
1162,-1,Lafayette Street Elementary School,Newark Public School District,C,"PK, K-8",1267,18 to 1
1163,-1,Hurden Looker School,Hillside Board of Education,C,6-Feb,443,12 to 1
1164,-1,Freedom Prep Charter School,CAMDEN,C,K-12,822,13 to 1
1165,-1,J. Garfield Jackson Sr. Academy,East Orange School District,C,"PK, K-5",273,15 to 1
1166,-1,Marie D. Durand Elementary School,Vineland Public School District,C,K-5,549,14 to 1
1167,-1,Elizabeth F. Moore School,Upper Deerfield Township School District,C,5-Mar,172,11 to 1
1168,-1,Robert N. Wilentz Elementary School,Perth Amboy Public School District,C,K-4,701,10 to 1
1169,-1,M. Joan Pearson Elementary School,Delanco Township School District,C,K-5,250,16 to 1
1170,-1,Edward J. Patten Elementary School,Perth Amboy Public School District,C,K-4,778,11 to 1
1171,-1,Woodlynne Public School,WOODLYNNE,C,"PK, K-8",396,12 to 1
1172,-1,School No. 2,Linden Public School District,C,"PK, K-5",659,10 to 1
1173,-1,Wilson Avenue School,Newark Public School District,C,"PK, K-8",1135,17 to 1
1174,-1,George B. Fine School,Pennsauken Township Board of Education School District,C,"PK, K-3",275,11 to 1
1175,-1,Paul Robeson Charter School for the Humanities,TRENTON,C,8-Mar,424,11 to 1
1176,-1,Harry L. Bain School,West New York Board of Education,C,K-6,642,14 to 1
1177,-1,Abraham Lincoln School No. 6,Garfield Public School District,C,"PK, K-5",372,10 to 1
1178,-1,Kuser Elementary School,Hamilton Township School District (Hamilton),C,"PK, K-5",386,11 to 1
1179,-1,Texas Avenue School,Atlantic City School District,C,K-8,499,11 to 1
1180,-1,Tulsa Trail Elementary School,Hopatcong Borough School District,C,3-Feb,214,11 to 1
1181,-1,Mount Pleasant Elementary School,Millville School District,C,K-5,203,11 to 1
1182,-1,Hopewell Crest School,BRIDGETON,C,"PK, K-8",496,14 to 1
1183,-1,Gables Elementary School,Neptune Township School District,C,"PK, K-5",275,9 to 1
1184,-1,Chaplain Charles Watters School - P.S. 24,Jersey City School District,C,"PK, K-8",762,15 to 1
1185,-1,Winfield Scott School No. 2,Elizabeth Public Schools,C,"PK, K-8",635,11 to 1
1186,-1,Lalor Elementary School,Hamilton Township School District (Hamilton),C,"PK, K-5",260,11 to 1
1187,-1,South Street School,Newark Public School District,C,"PK, K-8",798,13 to 1
1188,-1,Woodrow Wilson School,NEPTUNE CITY,C,"PK, K-8",246,8 to 1
1189,-1,President Barack Obama Elementary School,Jersey City School District,C,"PK, K-8",445,11 to 1
1190,-1,Woodrow Wilson Elementary School,New Brunswick Public Schools,C,"PK, K-8",385,9 to 1
1191,-1,Cleveland Street Elementary School,Orange Board of Education School District,C,"PK, K-7",293,10 to 1
1192,-1,Nicholas Murray Butler School No. 23,Elizabeth Public Schools,C,K-8,750,12 to 1
1193,-1,Collings Lakes Elementary School,Buena Regional School District,C,"PK, K-2",186,12 to 1
1194,-1,George L. Catrambone School,Long Branch Public School District,C,K-5,889,15 to 1
1195,-1,Roberto Clemente Elementary School,Newark Public School District,C,"PK, K-6",616,13 to 1
1196,-1,George E. Wilson Elementary School,Hamilton Township School District (Hamilton),C,"PK, K-5",410,11 to 1
1197,-1,Ollie Culbreth Jr. School - P.S. 14,Jersey City School District,C,"PK, K-8",442,11 to 1
1198,-1,Charles J. Riley School No. 9,Paterson Public School District,C,"PK, K-8",736,11 to 1
1199,-1,Midtown Community Elementary School,Neptune Township School District,C,K-5,386,10 to 1
1200,-1,Chatsworth School,CHATSWORTH,C,"PK, K-8",118,7 to 1
1201,-1,Robert Waters School,Union City School District,C,"PK, K-6",1070,15 to 1
1202,-1,Delair Elementary School,Pennsauken Township Board of Education School District,C,K-3,359,15 to 1
1203,-1,Dr. J.P. Cleary Elementary School,Buena Regional School District,C,5-Mar,322,15 to 1
1204,-1,Stony Brook Elementary School,North Plainfield School District,C,"PK, K-4",245,9 to 1
1205,-1,Community Charter School of Paterson,PATERSON,C,K-8,884,10 to 1
1206,-1,Albio Sires Elementary School,West New York Board of Education,C,K-6,678,14 to 1
1207,-1,Fred W. Martin Center for the Arts,Jersey City School District,C,"PK, K-8",481,12 to 1
1208,-1,Franklin School,Newark Public School District,C,"PK, K-6",557,11 to 1
1209,-1,Greater Brunswick Charter School,NEW BRUNSWICK,C,K-8,392,12 to 1
1210,-1,Downe Township Elementary School,NEWPORT,C,"PK, K-8",174,10 to 1
1211,-1,Whitney M. Young Jr. School - P.S. 15,Jersey City School District,C,"PK, K-8",645,11 to 1
1212,-1,Abington Avenue School,Newark Public School District,C,"PK, K-8",878,16 to 1
1213,-1,Dr. Herbert N. Richardson 21st Century Elementary School,Perth Amboy Public School District,C,K-4,616,11 to 1
1214,-1,Toussaint L'ouverture-Marquis de Lafayette School No. 6,Elizabeth Public Schools,C,"PK, K-8",1107,14 to 1
1215,-1,G. Washington Carver Institute,East Orange School District,C,"PK, K-6",305,11 to 1
1216,-1,Hawkins Street Elementary School,Newark Public School District,C,"PK, K-8",696,15 to 1
1217,-1,Lincoln School,North Bergen School District,C,"PK, K-8",1450,14 to 1
1218,-1,Christopher Columnbus School No. 15,Elizabeth Public Schools,C,K-8,666,14 to 1
1219,-1,Sonia Sotomayor School No 25,Elizabeth Public Schools,C,K-8,579,12 to 1
1220,-1,Gladys Nunery School - P.S. 29,Jersey City School District,C,"PK, K-5",292,12 to 1
1221,-1,Red Bank Primary School,Red Bank Borough Public School District,C,"PK, K-3",651,11 to 1
1222,-1,McCloud Elementary School,Englewood Public School District,C,5-Mar,563,11 to 1
1223,-1,North Main Street School,Pleasantville Public School District,C,"PK, K-5",328,8 to 1
1224,-1,School No. 27,Paterson Public School District,C,"PK, K-5",679,14 to 1
1225,-1,Green Grove Elementary School,Neptune Township School District,C,"PK, K-5",320,11 to 1
1226,-1,Hope Community Charter School,CAMDEN,C,K-6,132,11 to 1
1227,-1,South Main Street Elementary School,Pleasantville Public School District,C,"PK, K-5",495,13 to 1
1228,-1,Rosa Parks/Central Community School,Orange Board of Education School District,C,"PK, K-7",935,14 to 1
1229,-1,Dr. Martin Luther King Jr. School Complex,Atlantic City School District,C,"PK, K-8",597,11 to 1
1230,-1,Oak Street Elementary School,Lakewood School District,C,K-5,767,9 to 1
1231,-1,Lakehurst Elementary School,LAKEHURST,C,"PK, K-8",385,10 to 1
1232,-1,Twin Hills Elementary School,Willingboro Public School District,C,K-4,324,13 to 1
1233,-1,Bingham Elementary School,Runnemede Public School District,C,K-3,177,8 to 1
1234,-1,Ocean Academy Charter School,LAKEWOOD,C,K-5,335,14 to 1
1235,-1,Clifton Avenue Grade School,Lakewood School District,C,5-Jan,614,11 to 1
1236,-1,Juan Pablo Duarte - Jose Julian Marti School No 28,Elizabeth Public Schools,C,"PK, K-8",938,13 to 1
1237,-1,Benjamin Franklin School No. 13,Elizabeth Public Schools,C,K-8,473,12 to 1
1238,-1,John F. Kennedy School,North Bergen School District,C,8-Jan,472,10 to 1
1239,-1,Silver Run Elementary School,Millville School District,C,K-5,484,11 to 1
1240,-1,Lincoln Avenue Elementary School,Orange Board of Education School District,C,"PK, K-7",818,13 to 1
1241,-1,Ridge Street School,Newark Public School District,C,"PK, K-8",637,14 to 1
1242,-1,Maurice River Township Elementary School,PORT ELIZABETH,C minus,"PK, K-8",419,12 to 1
1243,-1,Holly Heights Elementary School,Millville School District,C minus,K-5,512,14 to 1
1244,-1,Bridgeton Public Charter School,BRIDGETON,C minus,K-4,99,10 to 1
1245,-1,Ella G. Clarke Elementary School,Lakewood School District,C minus,5-Jan,316,7 to 1
1246,-1,Franklin School,North Bergen School District,C minus,8-Jan,623,14 to 1
1247,-1,Camden Street Elementary School,Newark Public School District,C minus,"PK, K-8",600,12 to 1
1248,-1,KIPP Cooper Norcross Academy,CAMDEN,C minus,K-9,1775,22 to 1
1249,-1,Jerome Dunn Academy No. 9,Elizabeth Public Schools,C minus,K-8,873,16 to 1
1250,-1,Park Avenue School,Orange Board of Education School District,C minus,"PK, K-8",419,10 to 1
1251,-1,Washington Elementary School,Roselle Public Schools,C minus,4-Jan,313,10 to 1
1252,-1,School No. 5,Paterson Public School District,C minus,K-5,633,10 to 1
1253,-1,Newark Educators Community Charter School,NEWARK,C minus,"PK, K-4",260,14 to 1
1254,-1,Uptown Complex School,Atlantic City School District,C minus,"PK, K-8",575,11 to 1
1255,-1,Hugh J. Boyd Jr. Elementary School,SEASIDE HTS,C minus,"PK, K-6",213,9 to 1
1256,-1,Salem Middle School,Salem City School District,C minus,8-Mar,450,13 to 1
1257,-1,New York Avenue School,Atlantic City School District,C minus,"PK, K-8",569,10 to 1
1258,-1,George Washington Elementary School,Hillside Board of Education,C minus,6-Feb,438,11 to 1
1259,-1,Quitman Community School,Newark Public School District,C minus,"PK, K-8",551,10 to 1
1260,-1,Anthony V. Ceres School,Perth Amboy Public School District,C minus,K-4,581,11 to 1
1261,-1,Hawthorne Avenue Elementary School,Newark Public School District,C minus,"PK, K-8",463,13 to 1
1262,-1,Principle Academy Charter,EGG HARBOR TOWNSHIP,C minus,K-6,531,16 to 1
1263,-1,International Charter School,TRENTON,C minus,K-4,89,13 to 1
1264,-1,R.M. Bacon Elementary School,Millville School District,C minus,K-5,267,11 to 1
1265,-1,Public School No. 1,West New York Board of Education,C minus,K-6,860,15 to 1
1266,-1,Hawthorne Park Elementary School,Willingboro Public School District,C minus,K-4,385,13 to 1
1267,-1,McKinley School,Newark Public School District,C minus,"PK, K-8",849,12 to 1
1268,-1,Ivy Hill School,Newark Public School District,C minus,"PK, K-8",529,11 to 1
1269,-1,Speedway School,Newark Public School District,C minus,"PK, K-8",633,15 to 1
1270,-1,Avon Avenue School,Newark Public School District,C minus,"PK, K-8",537,13 to 1
1271,-1,Cicely L. Tyson Community Elementary School of the Performing and Fine Arts,East Orange School District,C minus,"PK, K-5",516,14 to 1
1272,-1,Smalley Elementary School,Bound Brook School District,C minus,6-Mar,428,10 to 1
1273,-1,Whitney E. Houston Academy,East Orange School District,C minus,"PK, K-8",359,12 to 1
1274,-1,East Orange Community Charter School,EAST ORANGE,C minus,K-4,472,9 to 1
1275,-1,Luis Munoz Marin Elementary School,Newark Public School District,C minus,"PK, K-8",834,12 to 1
1276,-1,Hughes Elementary School,East Orange School District,C minus,"PK, K-5",537,14 to 1
1277,-1,Glenwood Avenue Elementary School,Wildwood City School District,C minus,"PK, K-5",470,11 to 1
1278,-1,Chancellor Avenue School,Newark Public School District,C minus,"PK, K-8",522,15 to 1
1279,-1,Harriet Tubman School,Newark Public School District,C minus,"PK, K-7",385,14 to 1
1280,-1,Paul W. Carleton Elementary School,Penns Grove-Carneys Point Regional School District,C minus,5-Apr,343,12 to 1
1281,-1,School No. 29,Paterson Public School District,C minus,K-4,314,15 to 1
1282,-1,14th Avenue School,Newark Public School District,C minus,"PK, K-8",104,7 to 1
1283,-1,McKinley Community School,New Brunswick Public Schools,C minus,"PK, K-8",762,11 to 1
1284,-1,Haleyville-Mauricetown School,PORT NORRIS,C minus,"PK, K-8",361,10 to 1
1285,-1,Benjamin Banneker Academy,East Orange School District,C minus,"PK, K-6",504,14 to 1
1286,-1,Charles L. Spragg Elementary School,Egg Harbor City School District,C minus,"PK, K-3",241,10 to 1
1287,-1,Dr. Charles C. Polk School,Roselle Public Schools,C minus,4-Jan,313,12 to 1
1288,-1,Paul Robeson Community School for the Arts,New Brunswick Public Schools,C minus,"PK, K-8",760,12 to 1
1289,-1,Benjamin Banneker Preparatory Charter School,WILLINGBORO,C minus,K-8,358,11 to 1
1290,-1,13th Avenue School,Newark Public School District,C minus,"PK, K-8",629,12 to 1
1291,-1,Belmont Runyon School,Newark Public School District,C minus,"PK, K-8",481,13 to 1
