,ranking,school,district,rating,grade,student,ratio
452,454,Roosevelt Elementary School,Lodi School District,B+,"PK, K-5",177,15 to 1
453,455,Clarendon Elementary School,Secaucus School District,B+,K-5,475,12 to 1
454,456,Taylor Mills School,Manalapan-Englishtown Regional School District,B+,K-6,600,12 to 1
455,457,Central Elementary School,Wall Township Public School District,B+,K-5,536,11 to 1
456,458,Mt. Arlington Public School,Mount Arlington Public School District,B+,8-Mar,240,10 to 1
457,459,Dr. Gerald H. Woehr Elementary School,Plumsted Township School District,B+,"PK, K-5",538,11 to 1
458,460,Clifton School No. 8,Clifton Public School District,B+,"PK, K-5",169,11 to 1
459,461,Eleanor G. Hewitt Intermediate School,Ringwood School District,B+,5-Apr,246,9 to 1
460,462,John F. Kennedy Primary School,Bridgewater-Raritan Regional School District,B+,K-4,427,9 to 1
461,463,Theunis Dey Elementary School,Wayne Township Public School District,B+,"PK, K-5",436,17 to 1
462,464,Frenchtown Elementary School,FRENCHTOWN,B+,"PK, K-8",121,8 to 1
463,465,Howard L. Emmons Elementary School,Pemberton Township School District,B+,K-2,304,11 to 1
464,466,Haskell Elementary School,Wanaque School District,B+,"PK, K-8",394,9 to 1
465,467,Sherman Elementary School,Roselle Park Board Of Education School District,B+,"PK, K-5",367,12 to 1
466,468,Lincoln Park Elementary School,Lincoln Park School District,B+,"PK, K-4",505,10 to 1
467,469,Hilltop Elementary School,Lodi School District,B+,"PK, K-5",322,13 to 1
468,470,Upper Pittsgrove School,Upper Pittsgrove Twp School District,B+,"PK, K-8",305,9 to 1
469,471,Dr. Michael Conti School - P.S. 5,Jersey City School District,B+,"PK, K-8",721,12 to 1
470,472,Hope Township Elementary School,Hope Township School District,B+,"PK, K-8",125,8 to 1
471,473,Franklin Elementary School,South Plainfield School District,B+,"PK, K-4",262,12 to 1
472,474,Mary S. Shoemaker School,Woodstown-Pilesgrove Regional School District,B+,5-Jan,491,11 to 1
473,475,Alan B. Shepard Elementary School,Old Bridge Township School District,B+,K-5,284,11 to 1
474,476,Livingston Elementary School,Twp Of Union Board Of Education School District,B+,"PK, K-4",399,11 to 1
475,477,Sussex Avenue School,Morris School District,B+,5-Mar,304,11 to 1
476,478,Joseph F. Brandt Primary School,Hoboken Public School District,B+,K-5,500,10 to 1
477,479,Robert Erskine Elementary School,Ringwood School District,B+,K-3,199,10 to 1
478,480,Hainesport Township School,Hainesport Township School District,B+,"PK, K-8",559,10 to 1
479,481,Ramtown School,Howell Township Public School District,B+,5-Mar,328,11 to 1
480,482,Alexander Hamilton School,Morris School District,B+,5-Mar,315,11 to 1
481,483,West Cape May Elementary School,West Cape May Elementary School District,B+,"PK, K-6",79,7 to 1
482,484,Birchwood School,Rockaway Township School District,B+,K-5,269,10 to 1
483,485,Wenonah Elementary School,Wenonah Boro School District,B+,"PK, K-6",166,9 to 1
484,486,Patrick M. Villano Elementary School,Emerson Public School District,B+,6-Apr,333,14 to 1
485,487,Riverdale Public School,RIVERDALE,B+,"PK, K-8",322,11 to 1
486,488,Pines Lake Elementary School,Wayne Township Public School District,B+,K-5,365,13 to 1
487,489,Dwight D. Eisenhower Elementary School,Sayreville School District,B+,K-3,489,12 to 1
488,490,Whitman Elementary School,Washington Township School District,B+,K-5,528,11 to 1
489,491,Lenox School,Pompton Lakes Boro School District,B+,K-5,352,14 to 1
490,492,Lebanon Borough School,Lebanon Borough School District,B+,"PK, K-6",92,7 to 1
491,493,McKenzie School,East Rutherford School District,B+,"PK, K-4",470,11 to 1
492,494,Newbury School,Howell Township Public School District,B+,5-Mar,372,12 to 1
493,495,Radix Elementary School,Monroe Township Public School District,B+,"PK, K-4",676,12 to 1
494,496,Demarest School,Bloomfield Board Of Education School District,B+,K-6,504,12 to 1
495,497,Huber Street Elementary School,Secaucus School District,B+,"PK, K-5",672,15 to 1
496,498,MacFarland Intermediate School,Bordentown Regional School District,B+,5-Mar,272,12 to 1
497,499,Betty McElmon Elementary School,West Long Branch School District,B+,"PK, K-4",319,9 to 1
498,500,Kingston Elementary School,Cherry Hill Township School District,B+,K-5,395,11 to 1
499,501,Francis A. Desmares Elementary School,Flemington-Raritan Regional School District,B+,K-4,463,9 to 1
500,502,School No. 28,Paterson Public School District,B+,"PK, K-8",469,11 to 1
501,503,Thomas Paine Elementary School,Cherry Hill Township School District,B+,K-5,370,13 to 1
502,504,Atlantic Highlands Elementary School,ATLANTIC HIGHLANDS,B+,"PK, K-6",301,10 to 1
503,505,Valley Road School,STANHOPE,B+,"PK, K-8",316,10 to 1
504,506,Frelinghuysen Elementary School,JOHNSONBURG,B+,"PK, K-6",130,12 to 1
505,507,Franklin D. Roosevelt Elementary School,North Arlington School District,B+,K-5,218,18 to 1
506,508,Dennis B. O'Brien School,Rockaway Township School District,B+,"PK, K-5",335,11 to 1
507,509,Greenwich Township School District School,Greenwich Township School District,B+,"PK, K-5",452,12 to 1
508,510,Unity Charter School,Unity Charter School,B+,K-8,245,11 to 1
509,511,Marshall W. Errickson School,Freehold Township School District,B+,K-5,445,12 to 1
510,512,Mohawk Avenue School,Sparta Township Public School District,B+,3,212,11 to 1
511,513,Van Sciver Elementary School,Haddon Township School District,B+,"PK, K-5",346,11 to 1
512,514,Woodrow Wilson Elementary School,Sayreville School District,B+,K-3,306,12 to 1
513,515,John F. Kennedy Elementary School,Wayne Township Public School District,B+,K-5,398,15 to 1
514,516,Millstone Township Elementary School,Millstone Township School District,B+,5-Mar,380,10 to 1
515,517,Lawrenceville Elementary School,Lawrence Township Public School District,B+,"PK, K-3",322,12 to 1
516,518,Nellie F. Bennett Elementary School,Point Pleasant Borough School District,B+,"PK, K-5",764,13 to 1
517,519,Taunton Forge School,Medford Township School District,B+,K-5,251,11 to 1
518,520,Union Township Elementary School,Union Township School District,B+,"PK, K-4",226,12 to 1
519,521,Lillian M. Steen School,Bogota Public School District,B+,"PK, K-6",310,11 to 1
520,522,Randall Carter School,Wayne Township Public School District,B+,"PK, K-5",320,14 to 1
521,523,Belleville Public School No. 10,Belleville Public Schools,B+,K-6,152,17 to 1
522,524,Peter Muschal Elementary School,Bordentown Regional School District,B+,"PK, K-5",543,10 to 1
523,525,Murray A. Chittick Elementary School,East Brunswick Public School District,B+,"PK, K-4",511,10 to 1
524,526,J. Mason Tomlin Elementary School,Mantua Township School District,B+,6-Apr,477,9 to 1
525,527,Englewood on the Palisades Charter School,ENGLEWOOD,B+,K-8,311,13 to 1
526,528,Willow Grove Elementary School,Hackettstown Public School District,B+,4-Feb,343,10 to 1
527,529,North Dover Elementary School,Toms River Regional School District,B+,K-5,462,14 to 1
528,530,Clara Barton Elementary School,Cherry Hill Township School District,B+,K-5,479,15 to 1
529,531,Elms Elementary School,Jackson Township School District,B+,"PK, K-5",627,13 to 1
530,532,Lowell Elementary School,Teaneck School District,B+,K-4,336,10 to 1
531,533,Kennedy Elementary School,Roxbury Township School District,B+,K-4,249,11 to 1
532,534,Joyce Kilmer Elementary School,Cherry Hill Township School District,B+,K-5,420,14 to 1
533,535,Flocktown-Kossmann Elementary School,Washington Township Public School District,B+,"PK, K-5",480,11 to 1
534,536,Columbus Elementary School,Lodi School District,B+,K-5,232,15 to 1
535,537,Arleth Elementary School,Sayreville School District,B+,K-3,487,12 to 1
536,538,John Hill School,Boonton Town School District,B+,"PK, 3-8",538,8 to 1
537,539,Countryside Elementary School,Mount Laurel Township School District,B+,"PK, K-4",304,10 to 1
538,540,James H. Johnson School,Cherry Hill Township School District,B+,K-5,455,14 to 1
