,common,A+,A,A minus,school_x,10,9,8,school_y
275,Pittsgrove Township,0,0,0,2,0,0,0,2
276,Plainfield,0,0,0,13,0,0,0,9
277,Pleasantville,0,0,0,4,0,0,0,4
278,Plumsted Township,0,0,0,1,0,0,1,1
279,Point Pleasant Beach,0,0,1,1,0,0,0,1
280,Point Pleasant Borough,0,0,0,2,0,0,0,2
281,Pompton Lakes Boro,0,0,1,2,0,0,0,2
282,Port Republic,0,0,1,1,0,1,0,1
283,Princeton,2,2,0,4,0,1,2,4
284,Prospect Park,0,0,0,1,0,0,0,1
285,Rahway,0,0,0,4,0,0,0,4
286,Ramsey,0,3,0,3,0,3,0,3
287,Randolph Township,0,1,3,4,0,1,0,4
288,Readington Township,0,1,2,3,0,2,1,3
289,Red Bank Borough,0,0,0,1,0,0,0,2
290,Ridgewood,5,1,0,6,4,2,0,6
291,Ringwood,0,1,0,3,1,0,0,3
292,River Edge,0,2,0,2,1,1,0,2
293,River Vale,0,1,1,2,0,0,2,2
294,Riverdale,0,0,0,1,0,0,0,1
295,Riverside Township,0,0,0,1,0,0,0,1
296,Riverton,0,0,1,1,0,0,1,1
297,Robbinsville,0,1,0,1,0,0,2,2
298,Rochelle Park,0,0,0,1,0,0,0,1
299,Rockaway Borough,0,0,0,1,0,0,0,2
300,Rockaway Township,0,0,1,5,0,0,1,5
301,Roosevelt,1,0,0,1,0,1,0,1
302,Roseland,0,1,0,1,0,1,0,1
303,Roselle,0,0,0,4,0,0,0,4
304,Roselle Park,0,0,0,1,0,0,0,3
305,Roxbury Township,0,0,1,4,0,0,1,5
306,Rumson Borough,0,1,0,1,2,0,0,2
307,Runnemede,0,0,0,2,0,0,0,3
308,Rutherford,0,1,1,3,0,0,1,3
309,Saddle Brook,0,0,0,3,0,0,0,3
310,Saddle River,1,0,0,1,1,0,0,1
311,Salem City,0,0,0,2,0,0,0,1
312,Sandyston-Walpack Consolidated,0,0,1,1,0,0,1,1
313,Sayreville,0,0,1,5,0,0,1,5
314,Scotch Plains-Fanwood,0,4,1,5,0,3,3,7
315,Sea Girt Borough,1,0,0,1,1,0,0,1
316,Secaucus,0,0,0,2,0,0,0,2
317,Shamong Township,0,0,0,1,0,0,0,2
318,Shrewsbury Borough,0,1,0,1,0,1,0,1
319,Somerdale,0,0,0,1,0,0,0,1
320,Somers Point,0,0,0,1,0,0,0,2
321,Somerset Hills Regional,0,0,1,1,0,0,0,2
322,South Amboy,0,0,0,1,0,0,0,1
323,South Bound Brook,0,0,0,1,0,0,0,1
324,South Brunswick,1,5,1,7,1,2,3,7
325,South Hackensack,0,0,1,1,0,0,0,1
326,South Hunterdon Regional,0,0,0,2,0,0,0,2
327,South Orange-Maplewood,0,0,4,6,0,0,3,5
